grainSize,Mrs,Ms,Hc,Hcr,HcrHc,MrsMs
150,1.06,50.48,2.2,2.37,1.077272727,0.020998415
150,0.47,11.19,1.95,13.5,6.923076923,0.042001787
150,4.41,47.42,9.3,29.8,3.204301075,0.092998735
150,11.7,37.74,25.25,4.77,0.188910891,0.310015898
75,1.29,58.64,2.55,17.6,6.901960784,0.021998636
75,0.72,14.12,2.6,14.9,5.730769231,0.050991501
75,4.79,49.9,9.6,29.5,3.072916667,0.095991984
75,12,37.79,26.4,46.5,1.761363636,0.317544324
55,1.47,56.54,2.85,18.2,6.385964912,0.025999293
55,0.94,19.58,3.15,16.9,5.365079365,0.048008172
55,5.22,50.68,10,29.8,2.98,0.102999211
55,14.27,46.79,26,47,1.807692308,0.304979697
20,2.66,56.6,6,22.8,3.8,0.046996466
20,2.34,16.19,9.6,20.8,2.166666667,0.144533663
20,6.02,48.94,12.8,31.3,2.4453125,0.123007765
20,11.87,36.41,27.75,48.7,1.754954955,0.326009338