Name,VSM,ThermSusc
AME16_211,1,0
AME16_192,1,0
AME16_169,1,0
AME16_166,1,0
AME16_162,1,0
AME16_159,1,0
AME16_156,1,0
AME16_145,1,0
AME16_144,1,0
AME16_142,1,0
AME16_137,1,0
AME16_113,1,0
AME16_003,1,0
AME16_112,1,0
AME16_110,1,0
AME16_104,1,0
AME16_097,1,0
AME16_094,1,0
AME16_091,1,0
AME16_090,1,0
AME16_086,1,0
AME16_078,1,0
AME16_083,1,0
AME16_035,1,0
AME16_029,1,0
AME18_148,1,1
AME18_139,1,1
AME18_131,1,1
AME18_127,1,1
AME18_114,1,1
AME18_020,1,1
AME18_250,1,1
AME18_015,1,1
AME16_057,1,1
AME16_099,1,1
AME18_272,0,1