,station,lithology,easting,northing,trendDeg,plungeDeg,a95,k,n,source
4,36,G,490719.8,3861202,265.4,-34.5,5.9,128.4,6,Scott et al. (2013)
5,38,G,491437.3,3859743,315,-16.6,8.3,54.3,7,Scott et al. (2013)
6,39,G,493318.4,3859986,307.2,11,7.4,83,6,Scott et al. (2013)
8,48,G,501321.3,3864730,318.5,-34.6,5.8,134.7,6,Scott et al. (2013)
10,50,G,501370.5,3861436,323.2,53,12.2,31,6,Scott et al. (2013)
11,51,G,497454.8,3864551,328.7,48.1,9.8,47.9,6,Scott et al. (2013)
12,52,G,499237.2,3862726,282.1,37,4.3,247.2,6,Scott et al. (2013)
13,53,G,500540.5,3862865,116,18.3,12.6,29.4,6,Scott et al. (2013)
14,54,G,496575.3,3861677,295.6,37.6,13.4,25.9,6,Scott et al. (2013)
15,55,G,495438.7,3860332,332.3,21.6,13.1,27,6,Scott et al. (2013)
16,72,D,503106.8,3863536,278.3,27.4,8.5,62.8,6,Scott et al. (2013)
21,131,G,494140.3,3861588,290.7,9,2.5,692.8,6,Scott et al. (2013)
22,132,G,494546,3863563,280.9,28,4.2,339.6,5,Scott et al. (2013)
26,141,G,502068,3862839,305.5,13.4,6.9,95.1,6,Scott et al. (2013)
75,A,D,507790.5,3864154,356,60,11.8,62,4,Bonhommet et al. (1988)
76,B,D,508096.1,3864989,336,52,12.5,24,7,Bonhommet et al. (1988)
80,H,D,509697.2,3859908,359,54,4.4,780,3,Bonhommet et al. (1988)
81,I,D,509640.2,3861452,1,53,9,57,6,Bonhommet et al. (1988)
82,K,D,509176.6,3862093,344,43,6.6,135,5,Bonhommet et al. (1988)
83,L,D,506740.2,3862943,329,40,6.4,90,7,Bonhommet et al. (1988)
95,t-8,G,498721,3862249,291.4,18,3.6,278.6,6,Granot et al. 2006
96,t-9,G,499375.7,3862046,319.2,13.5,5.3,133.5,6,Granot et al. 2006
101,t-14,G,490771.6,3861200,250.3,-8.3,3.8,313.5,5,Granot et al. 2006
102,t-15,G,490755.1,3859944,299.7,4.6,5.3,162.2,5,Granot et al. 2006
103,t-16,G,491441.3,3859721,310,-9.1,3.6,279.3,6,Granot et al. 2006
104,t-17,G,493849.4,3860717,312.8,6.7,10.5,42.6,5,Granot et al. 2006
105,t-18,G,494109.5,3861013,307.5,16.9,2.1,1027.8,5,Granot et al. 2006
106,t-19,G,495099.9,3860125,316.6,26.7,4.9,152.8,6,Granot et al. 2006
107,t-20,G,495832.1,3860439,306.7,27.7,7.6,64.9,6,Granot et al. 2006
108,t-21,G,496396.9,3861289,293.6,2.3,3.6,355.4,5,Granot et al. 2006
158,A28,D,522137.8,3860438,287.7,33.4,5.2,NA,5,Allerton 1989
160 A4,1 - group 2,D,517327.4,3859685,337.6,50.4,15.2,NA,3,Allerton 1989
161 A4,2 - group 1,D,518741.9,3859815,346.1,85.4,11.4,NA,3,Allerton 1989
162 A4,3 - group 2,G,520211.5,3859427,172.7,80.9,21.7,NA,3,Allerton 1989
163 A4,3 - group 3,D,520211.5,3859427,303.6,50.8,21.2,NA,3,Allerton 1989
164,A44,D,517786.1,3864970,337.4,60.7,6.1,NA,6,Allerton 1989
165 A4,5 - group 1,D,516378.5,3862967,338.6,63.7,15.1,NA,4,Allerton 1989
166 A4,5 - group 2,D,516378.5,3862967,359.3,70.5,15.7,NA,5,Allerton 1989
167 A4,6 - group 3,D,517006,3862578,273.5,59.1,5.9,NA,4,Allerton 1989
168,A47,D,519098.4,3860616,11.1,61.4,6.7,NA,7,Allerton 1989
182,a,G,493372.6,3859965,248,64,4.7,171.7,6,Abelson et al. (2002)
185,i,G,495569.8,3863488,306,48,3.5,310.7,6,Abelson et al. (2002)
186,j2,G,495500.7,3864546,293,22.6,4.2,216.7,6,Abelson et al. (2002)