easting,northing,Name,description,Strike ,Dip,Rake,Core,sample,transect
120.3668278,-21.14453654,Ame 16 48,10-JUN-16 10:45:17AM,194,77,29,0,1,0
120.3741211,-21.14486578,Ame 16 49,10-JUN-16 11:40:29AM,150,67,32,0,1,0
119.8214249,-21.16227466,Ame 16 11,01-JUN-16 1:27:38PM,235,58,44,0,0,0
119.8957157,-20.99242989,Ame 16 70,13-JUN-16 2:15:11PM,238,59,44,0,1,0
120.3770555,-21.14844636,Ame 16 50,10-JUN-16 12:28:05PM,320,71,47,0,1,0
119.8976192,-20.99386873,Ame 16 71A,13-JUN-16 2:42:15PM,237,59,47,0,1,0
119.9003344,-20.9985356,Ame 16 74,13-JUN-16 3:58:54PM,242,66,50,0,1,0
120.1052159,-20.89688181,Ame 16 61,12-JUN-16 8:53:27AM,264,82,52,0,1,0
119.8989237,-20.99515988,Ame 16 73,13-JUN-16 3:37:47PM,241,61,52,0,1,0
120.3301648,-21.06612794,Ame 16 36,09-JUN-16 9:28:42AM,336,68,56,0,1,0
119.8984756,-20.99442294,Ame 16 72,13-JUN-16 3:11:05PM,240,55,58,0,1,0
120.3298913,-21.0663172,Ame 16 37,09-JUN-16 9:55:41AM,333,77,64,0,1,0
119.8977998,-20.99396537,Ame 16 71B,13-JUN-16 2:57:22PM,228,59,64,0,1,0
120.2303321,-21.38995112,Ame 16 221,18-JUL-16 11:15:49AM,31,67,66,0,1,0
119.85736,-21.06768714,Ame 16 16,01-JUN-16 4:30:02PM,185,26,75,0,0,0
119.8081561,-21.16922384,Ame 16 10,01-JUN-16 11:18:04AM,179,55,77,0,1,0
119.8155735,-21.16513741,Ame 16 12,01-JUN-16 1:33:58PM,159,25,77,0,0,0
120.2089565,-21.36342944,Ame 16 218,18-JUL-16 10:03:06AM,32,85,77,0,1,0
120.2093253,-21.3640637,Ame 16 219,18-JUL-16 10:11:19AM,20,70,78,0,1,0
119.808421,-21.16907624,Ame 16 09,01-JUN-16 10:08:48AM,158,50,80,0,1,0
119.8572096,-21.10504135,Ame 16 65,12-JUN-16 2:37:31PM,180,68,82,0,1,0
119.8715738,-21.10151164,Ame 16 66,12-JUN-16 3:23:52PM,174,73,84,0,1,0
120.2644837,-20.96744578,Ame 16 116,03-JUL-16 9:15:12AM,326,70,84,0,1,0
120.0675191,-21.42668364,Ame 16 67,13-JUN-16 8:04:48AM,90,69,87,0,1,0
119.969574,-21.3762317,Ame 16 132,08-JUL-16 12:50:49PM,159,76,88,0,1,0
120.19024,-20.987315,Ame 16 124,03-JUL-16 3:30:43PM,102,82,90,0,1,0
120.0755301,-21.43256949,Ame 16 69,13-JUN-16 9:20:34AM,105,82,91,0,1,0
120.0747718,-21.4265315,Ame 16 06B,30-MAY-16 10:17:25AM,91,73,93,0,1,0
120.0746278,-21.42959635,Ame 16 05,30-MAY-16 9:31:07AM,110,84,94,0,0,0
120.0742319,-21.42661859,Ame 16 06,30-MAY-16 9:54:40AM,134,68,94,0,1,0
120.1913975,-20.98219098,Ame 16 121,03-JUL-16 2:45:26PM,251,64,94,0,1,0
120.19,-20.98692851,Ame 16 123,03-JUL-16 3:20:15PM,76,57,95,0,1,0
119.9186557,-21.33769733,Ame 16 126,07-JUL-16 4:58:48PM,121,84,95,0,1,0
120.2293657,-21.38967787,Ame 16 24,03-JUN-16 2:15:18PM,8,52,96,0,0,0
119.917326,-21.33891237,Ame 16 125,07-JUL-16 4:10:25PM,123,74,96,0,1,0
120.1905217,-20.98414748,Ame 16 122,03-JUL-16 2:59:40PM,344,62,99,0,1,0
119.9740758,-21.37233194,Ame 16 136,08-JUL-16 2:22:26PM,149,67,100,0,1,0
120.264206,-21.33052426,Ame 16 19,03-JUN-16 10:25:23AM,36,68,101,0,1,0
120.2626861,-20.97147371,Ame 16 117,03-JUL-16 10:02:49AM,168,70,101,0,1,0
119.9210579,-21.33483499,Ame 16 127,08-JUL-16 8:05:01AM,119,70,101,0,1,0
119.9223816,-21.33217617,Ame 16 130,08-JUL-16 9:24:42AM,124,67,101,0,1,0
119.9732943,-21.37259681,Ame 16 135,08-JUL-16 2:01:17PM,135,74,101,0,1,0
120.0125503,-21.29517283,Ame 16 92,25-JUN-16 9:39:06AM,298,54,102,1,0,0
120.2615552,-21.3258962,Ame 16 23,03-JUN-16 12:29:08PM,54,76,104,0,1,0
120.0707287,-21.41955483,Ame 16 07,30-MAY-16 10:49:41AM,124,63,106,0,1,0
120.1584815,-21.43022633,Ame 16 27,03-JUN-16 3:42:40PM,61,64,106,0,1,0
119.9209326,-21.33591358,Ame 16 129,08-JUL-16 9:01:20AM,121,69,106,0,1,0
119.9718173,-21.37381193,Ame 16 134,08-JUL-16 1:45:46PM,134,77,106,0,1,0
119.9772304,-21.37146441,Ame 16 137,08-JUL-16 3:58:45PM,145,73,106,1,0,0
119.9706849,-21.37483008,Ame 16 133,08-JUL-16 1:22:21PM,122,75,107,0,1,0
120.2634102,-21.32965188,Ame 16 20,03-JUN-16 11:13:07AM,41,80,110,0,1,0
120.3723339,-21.14521698,Ame 16 44,10-JUN-16 8:44:14AM,1,39,110,0,1,0
120.3490854,-21.19523247,Ame 16 148,10-JUL-16 10:23:50AM,9,81,113,0,1,0
120.2261097,-21.38551743,Ame 16 26,03-JUN-16 2:52:10PM,25,84,118,0,0,0
119.97855,-20.98895,Ame 16 200,13-JUL-16 5:02:31PM,260,22,120,0,1,0
119.97795,-20.97844,Ame 16 194,13-JUL-16 5:02:31PM,264,65,121,0,1,0
120.3670802,-21.14446546,Ame 16 47,10-JUN-16 10:23:53AM,316,74,127,0,1,0
120.3269432,-21.06587037,Ame 16 39,09-JUN-16 11:09:15AM,166,73,145,0,1,0
120.3481747,-21.19519944,Ame 16 149,10-JUL-16 10:41:47AM,48,79,146,0,1,0
120.0672447,-21.4277618,Ame 16 68,13-JUN-16 8:59:52AM,96,64,150,0,1,0